trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.02, 'e': 1.0}",20,0,-74.68776797970065,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.02, 'e': 0.9998000066665778}",20,0,-101.14187928541895,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.02, 'e': 0.9992001066609779}",30,13,-30.84579174804164,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
4,False,"{'a': 0.02, 'e': 0.9982005399352042}",25,6,-278.29388784751166,"{0: 7, 1: 3, 2: 3, 3: 0, 4: 6}",1
5,False,"{'a': 0.02, 'e': 0.9968017063026194}",25,0,-123.33993896410728,"{0: 13, 1: 3, 2: 6, 3: 3, 4: 0}",0
6,False,"{'a': 0.02, 'e': 0.9950041652780257}",25,0,-167.21200350408566,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 3}",0
7,False,"{'a': 0.02, 'e': 0.9928086358538663}",20,0,-98.08546341540324,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
8,False,"{'a': 0.02, 'e': 0.9902159962126371}",20,0,-104.93040852342254,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.02, 'e': 0.9872272833756269}",25,0,-145.20835189824712,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.02, 'e': 0.9838436927881214}",25,0,-87.2569214634771,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.02, 'e': 0.9800665778412416}",20,0,-98.68359028352802,"{0: 8, 1: 2, 2: 10, 3: 0, 4: 0}",0
12,False,"{'a': 0.02, 'e': 0.9758974493306055}",20,0,-136.70253293751534,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
13,False,"{'a': 0.02, 'e': 0.9713379748520297}",20,0,-59.92879456359144,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.02, 'e': 0.9663899781345132}",30,11,0.8034661558112803,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.02, 'e': 0.9610554383107709}",20,0,-104.72343048448131,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.02, 'e': 0.955336489125606}",25,0,-188.91101133654277,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 4}",0
17,False,"{'a': 0.02, 'e': 0.9492354180824408}",20,0,-173.10171144707365,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
18,False,"{'a': 0.02, 'e': 0.9427546655283462}",25,1,-50.0395690542967,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 0}",1
19,False,"{'a': 0.02, 'e': 0.9358968236779348}",20,0,-105.31995170709652,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.02, 'e': 0.9286646355765102}",30,3,-29.145154760892687,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 0}",1
21,False,"{'a': 0.02, 'e': 0.9210609940028851}",25,0,-65.71065876157805,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
22,False,"{'a': 0.02, 'e': 0.9130889403123083}",25,0,-85.37626162268752,"{0: 13, 1: 6, 2: 5, 3: 1, 4: 0}",0
23,False,"{'a': 0.02, 'e': 0.9047516632199635}",25,0,-133.2727763836522,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",1
24,False,"{'a': 0.02, 'e': 0.8960524975255253}",20,0,-94.93929454595737,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
25,False,"{'a': 0.02, 'e': 0.8869949227792842}",30,0,-120.84883460337969,"{0: 16, 1: 6, 2: 7, 3: 0, 4: 1}",0
26,False,"{'a': 0.02, 'e': 0.8775825618903728}",20,6,-39.87596883013763,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 0}",1
27,False,"{'a': 0.02, 'e': 0.8678191796776499}",30,21,6.27267420620748,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.02, 'e': 0.8577086813638242}",20,0,-135.31015801458705,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
29,False,"{'a': 0.02, 'e': 0.8472551110134161}",20,0,-52.03316081710888,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
30,False,"{'a': 0.02, 'e': 0.8364626499151869}",35,0,-56.1479083712796,"{0: 24, 1: 7, 2: 3, 3: 1, 4: 0}",0
31,False,"{'a': 0.02, 'e': 0.8253356149096783}",25,7,-22.94396196715777,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
32,False,"{'a': 0.02, 'e': 0.8138784566625339}",25,0,-190.54065286107428,"{0: 13, 1: 2, 2: 5, 3: 3, 4: 2}",0
33,False,"{'a': 0.02, 'e': 0.8020957578842927}",20,0,-57.65602874474191,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
34,False,"{'a': 0.02, 'e': 0.7899922314973651}",25,0,-217.1255333062242,"{0: 11, 1: 3, 2: 6, 3: 2, 4: 3}",0
35,False,"{'a': 0.02, 'e': 0.7775727187509279}",25,16,-74.90657898376396,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 2}",1
36,False,"{'a': 0.02, 'e': 0.7648421872844884}",25,19,-1.7539515169485813,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.02, 'e': 0.751805729140895}",25,0,-30.51708034299371,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
38,False,"{'a': 0.02, 'e': 0.7384685587295879}",25,5,-90.44938709591959,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",1
39,False,"{'a': 0.02, 'e': 0.7248360107409052}",25,0,-83.11218112330927,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
40,False,"{'a': 0.02, 'e': 0.7109135380122773}",20,13,-15.736251172899568,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 0}",1
41,False,"{'a': 0.02, 'e': 0.6967067093471655}",30,0,-93.0315481818181,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
42,False,"{'a': 0.02, 'e': 0.6822212072876136}",25,0,-67.53887612742555,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
43,False,"{'a': 0.02, 'e': 0.6674628258413082}",25,17,-28.718665891124473,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
44,False,"{'a': 0.02, 'e': 0.6524374681640519}",25,5,-61.554119324074705,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",1
45,False,"{'a': 0.02, 'e': 0.6371511441985802}",20,0,-69.9659698911579,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
46,False,"{'a': 0.02, 'e': 0.6216099682706645}",25,0,-23.209923770651887,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
47,False,"{'a': 0.02, 'e': 0.6058201566434629}",25,10,-9.969058750333982,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
48,False,"{'a': 0.02, 'e': 0.5897880250310983}",25,0,-45.200983181085846,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
49,False,"{'a': 0.02, 'e': 0.5735199860724567}",20,6,-31.9963732635636,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
50,False,"{'a': 0.02, 'e': 0.5570225467662173}",20,0,-45.512340024886434,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
51,False,"{'a': 0.02, 'e': 0.5403023058681398}",20,0,-41.84266841100975,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
52,False,"{'a': 0.02, 'e': 0.5233659512516496}",30,16,19.688986785461378,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.02, 'e': 0.5062202572327784}",20,0,-0.5165324823513046,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
54,False,"{'a': 0.02, 'e': 0.48887208186052755}",20,0,-47.93839639934864,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
