trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.15364610548078,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8775825618903728}",20,0,-164.1431355323513,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.5403023058681398}",30,0,-214.2635449587496,"{0: 18, 1: 2, 2: 4, 3: 3, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.0707372016677029}",20,0,-12.797550779548283,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': -0.4161468365471424}",30,0,-94.95846577750802,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': -0.8011436155469337}",20,0,-31.642947255030258,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': -0.9899924966004454}",25,0,-25.27596239118774,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': -0.9364566872907963}",25,0,-40.30866117463671,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': -0.6536436208636119}",20,0,-44.31673584158033,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': -0.21079579943077972}",20,0,-64.43223224528126,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.2836621854632263}",25,0,-38.835890449499075,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.70866977429126}",35,13,7.314486587748362,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.9601702866503661}",25,0,-167.54152913891687,"{0: 12, 1: 0, 2: 10, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9765876257280235}",25,0,-119.83932006383293,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.7539022543433046}",20,0,-13.432378504590377,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.3466353178350258}",20,0,-48.983245404004045,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': -0.14550003380861354}",20,5,27.031074648976233,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': -0.6020119026848236}",20,5,26.005616243459134,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': -0.9111302618846769}",30,0,-38.00120153601015,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -0.9971721561963784}",20,0,-14.457489796000827,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,7,19.444031351728693,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,11,30.009145985160448,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,16,24.01366295351056,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,11.0842760897147,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,3,29.815806429298217,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,31.06649094847397,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",30,18,21.553991938051055,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,11.041360547541355,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,28.596260499575273,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,10,20.20912346777125,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
