trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.018, 'e': 1.0}",25,0,-97.06462931677856,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.018, 'e': 0.9998380043739528}",20,0,-30.05097579298645,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.018, 'e': 0.9993520699809768}",25,0,-191.43612538394981,"{0: 11, 1: 1, 2: 10, 3: 1, 4: 2}",0
4,False,"{'a': 0.018, 'e': 0.9985423542595644}",20,0,-166.607032028687,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.018, 'e': 0.9974091195505261}",35,0,-132.88238761453871,"{0: 24, 1: 3, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.018, 'e': 0.9959527330119943}",35,0,-304.2390862097219,"{0: 16, 1: 8, 2: 4, 3: 2, 4: 5}",0
7,False,"{'a': 0.018, 'e': 0.9941736665004669}",35,7,-168.94880681575216,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 3}",1
8,False,"{'a': 0.018, 'e': 0.9920724964179307}",25,0,-189.02722450975938,"{0: 12, 1: 6, 2: 3, 3: 1, 4: 3}",0
9,False,"{'a': 0.018, 'e': 0.9896499035251115}",20,0,-71.07436057385534,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
10,False,"{'a': 0.018, 'e': 0.9869066727209141}",25,0,-129.60985667837554,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.018, 'e': 0.9838436927881214}",25,0,-153.773958061185,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
12,False,"{'a': 0.018, 'e': 0.9804619561054371}",20,0,-102.04915420940128,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.018, 'e': 0.9767625583259631}",30,0,-235.77656348991758,"{0: 14, 1: 5, 2: 6, 3: 2, 4: 3}",0
14,False,"{'a': 0.018, 'e': 0.9727466980222181}",25,0,-238.57339447444267,"{0: 11, 1: 3, 2: 6, 3: 1, 4: 4}",0
15,False,"{'a': 0.018, 'e': 0.9684156762978101}",20,0,-115.5655323054302,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.018, 'e': 0.9637708963658905}",20,0,-61.187319291034605,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.018, 'e': 0.9588138630945251}",20,10,-27.44749996818512,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
18,False,"{'a': 0.018, 'e': 0.9535461825191301}",20,1,-48.271219789044835,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
19,False,"{'a': 0.018, 'e': 0.9479695613221308}",25,0,-128.84739319280902,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
20,False,"{'a': 0.018, 'e': 0.9420858062800114}",30,0,-151.7433360670594,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
21,False,"{'a': 0.018, 'e': 0.9358968236779348}",25,7,-38.194937463747614,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 0}",1
22,False,"{'a': 0.018, 'e': 0.9294046186921237}",25,0,-169.85587577340993,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
23,False,"{'a': 0.018, 'e': 0.9226112947402}",20,0,-13.536702404316769,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
24,False,"{'a': 0.018, 'e': 0.9155190527996969}",20,0,-201.22315707368065,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 4}",0
25,False,"{'a': 0.018, 'e': 0.908130190694961}",35,0,-250.92901999613102,"{0: 18, 1: 3, 2: 6, 3: 6, 4: 2}",0
26,False,"{'a': 0.018, 'e': 0.900447102352677}",25,2,-41.4952285713057,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 0}",1
27,False,"{'a': 0.018, 'e': 0.8924722770262568}",25,0,-154.55763460802035,"{0: 13, 1: 3, 2: 4, 3: 4, 4: 1}",0
28,False,"{'a': 0.018, 'e': 0.8842082984893433}",20,0,-156.43468975961605,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
29,False,"{'a': 0.018, 'e': 0.87565784419869}",30,0,-69.48154598809214,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
30,False,"{'a': 0.018, 'e': 0.8668236844266883}",30,0,-64.03020712091215,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
31,False,"{'a': 0.018, 'e': 0.8577086813638242}",30,0,-127.21157867195195,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
32,False,"{'a': 0.018, 'e': 0.8483157881913526}",25,0,-92.25699401588517,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
33,False,"{'a': 0.018, 'e': 0.8386480481244935}",20,0,-99.7919509594023,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
34,False,"{'a': 0.018, 'e': 0.8287085934264558}",20,0,-38.92584674549433,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
35,False,"{'a': 0.018, 'e': 0.8185006443936125}",25,0,-52.61733880271288,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
36,False,"{'a': 0.018, 'e': 0.8080275083121519}",20,0,-153.81107806396474,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
37,False,"{'a': 0.018, 'e': 0.7972925783865465}",20,0,-116.04592928000848,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
38,False,"{'a': 0.018, 'e': 0.786299332640184}",20,13,-8.912751324844393,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
39,False,"{'a': 0.018, 'e': 0.7750513327885185}",30,0,-258.7070218790537,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 5}",0
40,False,"{'a': 0.018, 'e': 0.7635522230851052}",25,0,-21.666614843008492,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
41,False,"{'a': 0.018, 'e': 0.751805729140895}",20,12,2.3375166074844724,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.018, 'e': 0.7398156567171688}",20,16,5.0627462466382624,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.018, 'e': 0.7275858904925036}",30,2,-17.360920518623825,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 0}",1
44,False,"{'a': 0.018, 'e': 0.7151203928041714}",30,0,-141.10442097072277,"{0: 17, 1: 5, 2: 6, 3: 0, 4: 2}",0
45,False,"{'a': 0.018, 'e': 0.7024232023643764}",20,0,-136.50785543948587,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
46,False,"{'a': 0.018, 'e': 0.6894984329517471}",25,0,-90.8327869687146,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
47,False,"{'a': 0.018, 'e': 0.6763502720785086}",20,0,3.076161005951367,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
48,False,"{'a': 0.018, 'e': 0.662982979633765}",30,20,-25.008671404938628,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
49,False,"{'a': 0.018, 'e': 0.6494008865033324}",25,0,-101.79624951982478,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
50,False,"{'a': 0.018, 'e': 0.6356083931665704}",25,8,10.316583995845996,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.018, 'e': 0.6216099682706646}",20,0,-79.34025290476099,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
52,False,"{'a': 0.018, 'e': 0.6074101471828244}",20,5,-37.01051790952489,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 0}",1
53,False,"{'a': 0.018, 'e': 0.5930135305208635}",25,3,-15.555430949228308,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 0}",1
54,False,"{'a': 0.018, 'e': 0.5784247826626401}",20,0,-32.54238176917172,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
55,False,"{'a': 0.018, 'e': 0.5636486302348395}",25,0,-49.48161081673923,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
56,False,"{'a': 0.018, 'e': 0.5486898605815878}",30,8,-9.178043354982368,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 0}",1
57,False,"{'a': 0.018, 'e': 0.5335533202133944}",25,13,-13.7521320237873,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
58,False,"{'a': 0.018, 'e': 0.5182439132369262}",20,2,-52.31586176224098,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 0}",1
59,False,"{'a': 0.018, 'e': 0.5027665997661181}",35,0,-86.16018130434912,"{0: 25, 1: 1, 2: 8, 3: 0, 4: 1}",0
60,False,"{'a': 0.018, 'e': 0.4871263943151404}",25,0,-42.12855267542884,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
61,False,"{'a': 0.018, 'e': 0.47132836417374013}",20,1,-113.06295790092283,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 1}",1
62,False,"{'a': 0.018, 'e': 0.4553776277654837}",20,0,-73.02280703856277,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
63,False,"{'a': 0.018, 'e': 0.43927935298943166}",20,0,16.991450174403866,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
64,False,"{'a': 0.018, 'e': 0.42303875554578535}",25,0,-62.94643772785012,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
65,False,"{'a': 0.018, 'e': 0.4066610972460452}",25,12,25.798026743513013,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.018, 'e': 0.3901516843082303}",30,17,18.73900686940178,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.018, 'e': 0.37351586563770955}",20,0,-31.25737269271967,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
68,False,"{'a': 0.018, 'e': 0.35675903109420365}",30,14,26.409510157095095,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.018, 'e': 0.3398866097455176}",25,0,19.379106013488595,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
70,False,"{'a': 0.018, 'e': 0.3229040681085699}",20,0,-2.6744893395355573,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
71,False,"{'a': 0.018, 'e': 0.3058169083782893}",25,1,-37.88504020121091,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 1}",1
72,False,"{'a': 0.018, 'e': 0.2886306666449518}",25,0,-93.93849761123546,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
73,False,"{'a': 0.018, 'e': 0.27135091110053494}",25,19,-0.15969432146673723,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.018, 'e': 0.2539832402346736}",25,0,13.319441992153385,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
75,False,"{'a': 0.018, 'e': 0.23653328102079763}",20,7,11.832486142765202,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.018, 'e': 0.21900668709304172}",30,11,29.395886151148083,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.018, 'e': 0.20140913691451745}",25,13,2.482603720319754,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.018, 'e': 0.183746331937541}",25,5,-38.88337321743661,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",1
79,False,"{'a': 0.018, 'e': 0.16602399475641233}",20,12,16.041253060718983,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.018, 'e': 0.14824786725334482}",20,8,17.696774629382016,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.018, 'e': 0.13042370873814554}",35,0,16.50679191423539,"{0: 32, 1: 1, 2: 2, 3: 0, 4: 0}",0
82,False,"{'a': 0.018, 'e': 0.11255729408224939}",20,0,-31.37348176407405,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
83,False,"{'a': 0.018, 'e': 0.09465441184771117}",30,16,9.179912249865904,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.018, 'e': 0.07672086241176214}",30,15,24.376673370545664,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.018, 'e': 0.058762456087538786}",35,20,25.826107918397568,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.018, 'e': 0.04078501124159126}",20,7,23.96838235608783,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
