trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-119.69616150263543,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8775825618903728}",20,0,-64.23168331154878,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.5403023058681398}",30,0,-136.37071760688988,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.0707372016677029}",25,18,3.1991810753870595,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': -0.4161468365471424}",25,0,-20.280547417916093,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': -0.8011436155469337}",20,0,-27.21135968517897,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': -0.9899924966004454}",25,9,14.41268643965896,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': -0.9364566872907963}",30,0,-75.24970218259215,"{0: 24, 1: 0, 2: 3, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': -0.6536436208636119}",30,0,10.27677814830307,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': -0.21079579943077972}",20,0,-0.14088782426877755,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.2836621854632263}",20,0,-2.6748630658055186,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.70866977429126}",20,0,-103.77189029767568,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9601702866503661}",20,0,-28.813594865799768,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9765876257280235}",20,0,-93.78172133419449,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.7539022543433046}",20,0,-34.318746034716355,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.3466353178350258}",30,22,1.1801585637655228,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': -0.14550003380861354}",20,10,16.98459807755189,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': -0.6020119026848236}",20,7,-21.303558432912236,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': -0.9111302618846769}",20,16,7.160883669708883,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -0.9971721561963784}",25,0,21.462950424994013,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,5,11.488153110949328,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,12,-17.038401994612215,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",20,3,26.280759886543997,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,2,4.408479414764572,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,11,24.765396330775843,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,9,22.743191484174307,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,11,9.799463989616775,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,6,-40.271189219823164,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",30,21,16.04931676641618,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,0.02901409629651397,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
