trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.005, 'e': 0.9999875000260416}",25,0,-193.87640142783656,"{0: 15, 1: 0, 2: 5, 3: 2, 4: 3}",0
2,False,"{'a': 0.005, 'e': 0.9999500004166653}",20,0,-116.2134983272303,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.005, 'e': 0.9998875021093592}",25,0,-157.78444482066465,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.005, 'e': 0.9998000066665778}",25,0,-146.74841765949677,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
5,False,"{'a': 0.005, 'e': 0.9996875162757026}",25,0,-186.06995666748847,"{0: 12, 1: 6, 2: 3, 3: 1, 4: 3}",0
6,False,"{'a': 0.005, 'e': 0.9995500337489875}",25,0,-65.80644033913013,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.005, 'e': 0.9993875625234886}",20,0,-103.96155499724986,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.005, 'e': 0.9992001066609779}",30,0,-89.57532848885177,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.005, 'e': 0.9989876708478425}",25,0,-191.54093709896074,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
10,False,"{'a': 0.005, 'e': 0.9987502603949663}",25,7,-79.8667371306418,"{0: 9, 1: 0, 2: 9, 3: 0, 4: 0}",1
11,False,"{'a': 0.005, 'e': 0.9984878812375985}",25,0,-62.18456020630049,"{0: 17, 1: 6, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.005, 'e': 0.9982005399352042}",20,0,-102.19813638150652,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.005, 'e': 0.9978882436713011}",20,0,-43.80535635816625,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
