trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.97946981915013,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.6065306597126334}",25,0,-42.283152278237196,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.36787944117144233}",25,0,-111.76856150217742,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.22313016014842982}",20,9,-37.20081215366959,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.1353352832366127}",20,4,-5.476400253692143,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.0820849986238988}",20,0,-82.76002245842417,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.049787068367863944}",25,16,11.056933919647589,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.0301973834223185}",25,10,-4.077222343074734,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.01831563888873418}",20,0,-41.3555699432121,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.011108996538242306}",30,3,-9.464634234737233,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.006737946999085467}",25,0,-0.40744182158187403,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.004086771438464067}",25,0,-34.06972481211973,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.0024787521766663585}",30,0,2.4505579004114546,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.0015034391929775724}",20,3,-21.762097492572284,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.0009118819655545162}",20,0,14.212784075839414,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.0005530843701478336}",20,0,-73.82484807033569,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.00033546262790251185}",25,10,24.59844942596252,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.00020346836901064417}",35,0,29.897899868169258,"{0: 34, 1: 0, 2: 0, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.00012340980408667956}",25,4,18.178120178905456,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 7.48518298877006e-05}",20,0,-3.4236504550751,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,1,26.040362025007585,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,0,5.3361575316089365,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,15.478611970144808,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-14.768167784387945,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,25.614098812319266,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,15,19.320522103487093,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,0,12.753476536840758,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",35,13,29.119641834413038,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,18.275334275482564,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-16.889563093044025,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
