trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.96, 'e': 1.0}",20,0,-90.56086575340346,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.96, 'e': 0.96}",25,0,-198.03868664232678,"{0: 15, 1: 3, 2: 2, 3: 1, 4: 4}",0
3,False,"{'a': 0.96, 'e': 0.9216}",25,0,-177.5542681058299,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
4,False,"{'a': 0.96, 'e': 0.8847359999999999}",20,0,-208.8704672471777,"{0: 9, 1: 3, 2: 3, 3: 1, 4: 4}",0
5,False,"{'a': 0.96, 'e': 0.8493465599999999}",20,0,-67.40554408431231,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
6,False,"{'a': 0.96, 'e': 0.8153726975999999}",20,0,-127.80119169427527,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
7,False,"{'a': 0.96, 'e': 0.7827577896959999}",20,0,-187.26248852909524,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
8,False,"{'a': 0.96, 'e': 0.7514474781081598}",20,0,-83.1396234370579,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
9,False,"{'a': 0.96, 'e': 0.7213895789838334}",25,0,-85.69208971081838,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.96, 'e': 0.69253399582448}",20,0,-63.809918565340084,"{0: 15, 1: 0, 2: 2, 3: 3, 4: 0}",0
11,False,"{'a': 0.96, 'e': 0.6648326359915008}",20,0,-126.0253554234283,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.96, 'e': 0.6382393305518408}",25,0,-123.70169616205763,"{0: 14, 1: 6, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.96, 'e': 0.6127097573297671}",25,0,-91.7061929082191,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
14,False,"{'a': 0.96, 'e': 0.5882013670365764}",25,0,-131.32916627541243,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
15,False,"{'a': 0.96, 'e': 0.5646733123551133}",25,10,8.452052164408506,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.96, 'e': 0.5420863798609088}",20,0,-13.117689647745195,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.96, 'e': 0.5204029246664724}",20,0,-43.04077228914143,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
18,False,"{'a': 0.96, 'e': 0.49958680767981345}",20,14,8.074670881755614,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.96, 'e': 0.4796033353726209}",20,0,-75.48520726236111,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.96, 'e': 0.4604192019577161}",20,0,-15.721737553869797,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
21,False,"{'a': 0.96, 'e': 0.4420024338794074}",20,6,-63.89225540732424,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
22,False,"{'a': 0.96, 'e': 0.42432233652423107}",25,8,-67.1463349043881,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 1}",1
23,False,"{'a': 0.96, 'e': 0.4073494430632618}",20,0,-42.917231446913505,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
24,False,"{'a': 0.96, 'e': 0.3910554653407313}",20,5,6.288377624289124,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.96, 'e': 0.3754132467271021}",20,0,-65.761387412147,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
26,False,"{'a': 0.96, 'e': 0.360396716858018}",20,0,-42.058315661050564,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
27,False,"{'a': 0.96, 'e': 0.34598084818369723}",25,0,-41.007642822418994,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
28,False,"{'a': 0.96, 'e': 0.33214161425634936}",20,0,-21.416428734542155,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
29,False,"{'a': 0.96, 'e': 0.3188559496860954}",30,5,-19.882760147769933,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",1
30,False,"{'a': 0.96, 'e': 0.3061017116986515}",20,0,-46.669673697684686,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
31,False,"{'a': 0.96, 'e': 0.29385764323070546}",20,3,20.78234657403552,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.96, 'e': 0.28210333750147726}",20,1,-22.43782691461039,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
33,False,"{'a': 0.96, 'e': 0.2708192040014181}",25,0,3.714319348769356,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
34,False,"{'a': 0.96, 'e': 0.2599864358413614}",35,5,-9.098222306414577,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",1
35,False,"{'a': 0.96, 'e': 0.24958697840770694}",20,0,0.2718222389802061,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
36,False,"{'a': 0.96, 'e': 0.23960349927139865}",30,0,-73.33729693760424,"{0: 25, 1: 1, 2: 0, 3: 3, 4: 1}",0
