trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.99}",25,0,-99.65916816673611,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.98}",30,0,-98.52401877860207,"{0: 18, 1: 4, 2: 6, 3: 2, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.97}",30,12,-49.666005773699275,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 0}",1
4,False,"{'a': 0.01, 'e': 0.96}",25,0,-172.27034760096666,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.95}",30,0,-252.73227599624835,"{0: 15, 1: 4, 2: 5, 3: 2, 4: 4}",0
6,False,"{'a': 0.01, 'e': 0.94}",20,0,-60.60433026296839,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.9299999999999999}",30,0,-141.12454832163652,"{0: 19, 1: 2, 2: 5, 3: 3, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9199999999999999}",25,0,-198.1966683096553,"{0: 12, 1: 2, 2: 6, 3: 3, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9099999999999999}",25,0,-100.3665627392194,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.8999999999999999}",20,0,-110.14128984084539,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0.8899999999999999}",30,0,-100.85684642261727,"{0: 19, 1: 5, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.8799999999999999}",20,0,-42.62427002507624,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.01, 'e': 0.8699999999999999}",20,0,-96.96068493323445,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.8599999999999999}",20,0,-99.6424979104654,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.8499999999999999}",30,0,-143.10795720244766,"{0: 18, 1: 3, 2: 5, 3: 3, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.8399999999999999}",20,0,-248.27118942683708,"{0: 8, 1: 3, 2: 2, 3: 3, 4: 4}",0
17,False,"{'a': 0.01, 'e': 0.8299999999999998}",25,0,-155.63336390923908,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
18,False,"{'a': 0.01, 'e': 0.8199999999999998}",25,0,-75.42431522313058,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.8099999999999998}",20,1,-59.199888067668184,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 0}",1
20,False,"{'a': 0.01, 'e': 0.7999999999999998}",20,0,-27.126975287968573,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
21,False,"{'a': 0.01, 'e': 0.7899999999999998}",25,0,-71.65959047660048,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
22,False,"{'a': 0.01, 'e': 0.7799999999999998}",20,0,-65.56392693160151,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
23,False,"{'a': 0.01, 'e': 0.7699999999999998}",20,0,-74.04408850459964,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
24,False,"{'a': 0.01, 'e': 0.7599999999999998}",20,0,-56.85873617219897,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
25,False,"{'a': 0.01, 'e': 0.7499999999999998}",20,4,-54.07347750369085,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 0}",1
26,False,"{'a': 0.01, 'e': 0.7399999999999998}",20,0,-21.57866374270436,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
27,False,"{'a': 0.01, 'e': 0.7299999999999998}",20,0,-144.77119459778388,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
28,False,"{'a': 0.01, 'e': 0.7199999999999998}",30,8,-165.27874052752992,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 3}",1
