trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1}",20,0,-47.97883051114216,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0}",20,8,-7.137963687889603,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0}",20,0,-64.7795420495899,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0}",20,5,-35.77621524171712,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0}",30,14,17.960034641625107,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0}",25,2,-24.24015938943036,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0}",25,10,-3.841887132625288,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0}",25,0,-56.57811474178927,"{0: 20, 1: 1, 2: 0, 3: 4, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0}",30,0,-42.262158811757374,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0}",20,11,4.724356456171067,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0}",20,5,-3.9063444369125304,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0}",20,14,9.821728038666357,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0}",25,2,-28.48023708525288,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0}",25,0,-0.43063325780658346,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0}",20,10,15.544122283084512,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0}",30,16,-42.832340916850576,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0}",25,12,-17.41250041576731,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0}",25,5,15.382970094051675,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0}",20,0,5.287081424254526,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0}",30,20,16.45952668259931,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,12,10.879543660118753,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,12,-3.19974270951465,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,12,10.074105166312947,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,10,-4.71894925808779,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,-23.817058464343546,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,7.40038894698333,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,3,30.102893593533967,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,16,12.03843139595488,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,15,-13.526849817325395,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,20,16.869218697803078,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
