trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.2504456467378,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.5}",25,0,-124.02726420546942,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.25}",30,11,-30.54217133636766,"{0: 15, 1: 2, 2: 0, 3: 2, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.125}",20,0,-71.89187733919164,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.0625}",20,0,8.891309840858336,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.03125}",20,0,-22.608469163093815,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.015625}",30,0,-15.838009074428284,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.0078125}",20,0,-24.972639916977194,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.00390625}",20,0,-39.98766561642214,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.001953125}",25,15,1.7021741177720358,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.0009765625}",20,0,14.049683389982903,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.00048828125}",20,13,15.652455888602,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.000244140625}",25,20,9.419147160286904,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.0001220703125}",25,0,-5.69048666225267,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 6.103515625e-05}",25,3,-23.921858889032634,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 3.0517578125e-05}",20,0,-14.829857978653825,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.52587890625e-05}",25,0,25.09778148233311,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 7.62939453125e-06}",20,0,-12.407136166068664,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 3.814697265625e-06}",25,0,28.399127134736556,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.9073486328125e-06}",25,11,12.537359424552488,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,1,33.35692104065559,"{0: 27, 1: 2, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,0,29.979028593899905,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-35.025195515705,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,13,13.026655115508493,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,10,18.42644175457678,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,7,7.660726111158741,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,3,-10.33887875822012,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,8,-29.93492140801122,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,6,19.960358887166464,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,2,23.378685208956906,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
