trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.005, 'e': 1.0}",20,0,-82.16130885179626,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
2,False,"{'a': 0.005, 'e': 0.9950124791926823}",25,2,-47.33877173888793,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 1}",1
3,False,"{'a': 0.005, 'e': 0.9900498337491681}",25,0,-75.13193683773018,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.005, 'e': 0.9851119396030626}",25,0,-137.1890487016518,"{0: 13, 1: 7, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.005, 'e': 0.9801986733067553}",35,18,-48.7915850515692,"{0: 12, 1: 0, 2: 3, 3: 2, 4: 0}",1
6,False,"{'a': 0.005, 'e': 0.9753099120283326}",20,0,-125.38232556049257,"{0: 9, 1: 1, 2: 9, 3: 0, 4: 1}",0
7,False,"{'a': 0.005, 'e': 0.9704455335485082}",25,0,-29.59159213665813,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.005, 'e': 0.9656054162575665}",20,0,-88.5540337960525,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.005, 'e': 0.9607894391523232}",20,0,-189.45388757537359,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 3}",0
10,False,"{'a': 0.005, 'e': 0.9559974818331}",20,0,-108.4946699982412,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.005, 'e': 0.951229424500714}",20,0,-82.91665780712552,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.005, 'e': 0.9464851479534838}",25,0,-156.45033854957612,"{0: 13, 1: 2, 2: 6, 3: 3, 4: 1}",0
13,False,"{'a': 0.005, 'e': 0.9417645335842487}",20,0,-141.799427535889,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 1}",0
14,False,"{'a': 0.005, 'e': 0.9370674633774034}",20,0,-93.71286930150649,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.005, 'e': 0.9323938199059483}",20,0,-73.45189047105126,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.005, 'e': 0.9277434863285529}",25,0,-76.72081026827216,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.005, 'e': 0.9231163463866358}",30,0,-130.52423673333348,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
18,False,"{'a': 0.005, 'e': 0.9185122844014574}",25,0,-195.56630005501094,"{0: 12, 1: 5, 2: 4, 3: 1, 4: 3}",0
19,False,"{'a': 0.005, 'e': 0.9139311852712282}",35,0,-131.73693931933036,"{0: 24, 1: 3, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.005, 'e': 0.9093729344682314}",25,0,-52.5895791135097,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
21,False,"{'a': 0.005, 'e': 0.9048374180359595}",30,0,-166.6081351616212,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 3}",0
22,False,"{'a': 0.005, 'e': 0.9003245225862656}",35,0,-265.71131685360575,"{0: 19, 1: 3, 2: 8, 3: 0, 4: 5}",0
23,False,"{'a': 0.005, 'e': 0.8958341352965282}",20,0,-57.66055397822436,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
24,False,"{'a': 0.005, 'e': 0.8913661439068313}",30,0,-171.33089723636172,"{0: 14, 1: 5, 2: 8, 3: 2, 4: 1}",0
25,False,"{'a': 0.005, 'e': 0.8869204367171575}",25,0,-136.56712186627126,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
26,False,"{'a': 0.005, 'e': 0.8824969025845955}",20,0,-102.58228154089585,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
27,False,"{'a': 0.005, 'e': 0.8780954309205613}",25,5,-122.5344358335498,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",1
28,False,"{'a': 0.005, 'e': 0.8737159116880344}",20,0,-100.2354671776356,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
29,False,"{'a': 0.005, 'e': 0.8693582353988059}",25,0,-56.68181602374078,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
30,False,"{'a': 0.005, 'e': 0.8650222931107413}",20,0,-76.15481722730486,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
31,False,"{'a': 0.005, 'e': 0.8607079764250578}",25,0,-177.71012943751094,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
32,False,"{'a': 0.005, 'e': 0.8564151774836135}",20,0,-240.9848039766101,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 5}",0
33,False,"{'a': 0.005, 'e': 0.8521437889662113}",20,0,-68.40913417348924,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
34,False,"{'a': 0.005, 'e': 0.8478937040879159}",20,0,-114.33092291703318,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
35,False,"{'a': 0.005, 'e': 0.8436648165963837}",20,0,-39.14816363476521,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
36,False,"{'a': 0.005, 'e': 0.8394570207692074}",30,0,-175.7705256520381,"{0: 20, 1: 1, 2: 5, 3: 1, 4: 3}",0
37,False,"{'a': 0.005, 'e': 0.835270211411272}",35,0,-168.06826624571656,"{0: 21, 1: 1, 2: 11, 3: 0, 4: 2}",0
38,False,"{'a': 0.005, 'e': 0.8311042838521256}",20,0,-88.27527256471505,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
39,False,"{'a': 0.005, 'e': 0.8269591339433623}",20,15,2.265243796954969,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.005, 'e': 0.8228346580560184}",20,0,-97.42754289197593,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
41,False,"{'a': 0.005, 'e': 0.8187307530779818}",20,0,-85.44989271741909,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
42,False,"{'a': 0.005, 'e': 0.8146473164114145}",20,0,-66.61352855352168,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
43,False,"{'a': 0.005, 'e': 0.8105842459701871}",25,0,-165.14851954198465,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
44,False,"{'a': 0.005, 'e': 0.8065414401773269}",20,0,-42.61677016962679,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
45,False,"{'a': 0.005, 'e': 0.8025187979624785}",30,12,-55.487635776996285,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
46,False,"{'a': 0.005, 'e': 0.7985162187593771}",25,0,-71.66261849994132,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
47,False,"{'a': 0.005, 'e': 0.794533602503334}",30,3,-77.60833438321563,"{0: 20, 1: 2, 2: 3, 3: 1, 4: 1}",1
48,False,"{'a': 0.005, 'e': 0.7905708496287356}",25,0,-168.3389096637454,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
49,False,"{'a': 0.005, 'e': 0.7866278610665535}",20,0,-65.75786559309974,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
50,False,"{'a': 0.005, 'e': 0.7827045382418681}",25,11,-161.24564038596776,"{0: 6, 1: 0, 2: 5, 3: 0, 4: 3}",1
51,False,"{'a': 0.005, 'e': 0.7788007830714049}",20,0,-43.25842902266782,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
52,False,"{'a': 0.005, 'e': 0.774916497961081}",25,0,-149.25341185820034,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
53,False,"{'a': 0.005, 'e': 0.7710515858035663}",20,1,-67.51398351973017,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 0}",1
54,False,"{'a': 0.005, 'e': 0.7672059499758557}",20,7,-113.94407835479015,"{0: 6, 1: 2, 2: 3, 3: 0, 4: 2}",1
55,False,"{'a': 0.005, 'e': 0.7633794943368531}",20,9,-4.674570882687639,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.005, 'e': 0.7595721232249685}",20,0,-27.825081043636548,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
57,False,"{'a': 0.005, 'e': 0.7557837414557255}",25,17,6.621644495290879,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.005, 'e': 0.7520142543193826}",20,0,-12.865408410087806,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
59,False,"{'a': 0.005, 'e': 0.7482635675785653}",20,0,-86.79372092844974,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
60,False,"{'a': 0.005, 'e': 0.7445315874659094}",25,0,-113.38300063409044,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
61,False,"{'a': 0.005, 'e': 0.7408182206817179}",20,0,-61.890362210327126,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
62,False,"{'a': 0.005, 'e': 0.7371233743916278}",20,0,-53.18762680823198,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
63,False,"{'a': 0.005, 'e': 0.7334469562242892}",20,10,-17.093134059504415,"{0: 6, 1: 3, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.005, 'e': 0.7297888742690568}",30,13,-91.20979981608478,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 2}",1
65,False,"{'a': 0.005, 'e': 0.7261490370736909}",20,0,-47.90889815998383,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
66,False,"{'a': 0.005, 'e': 0.7225273536420722}",20,0,-65.96531062668063,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
67,False,"{'a': 0.005, 'e': 0.7189237334319262}",30,1,-117.16169310305919,"{0: 19, 1: 5, 2: 2, 3: 1, 4: 2}",1
68,False,"{'a': 0.005, 'e': 0.7153380863525599}",20,0,-94.36996878606944,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
69,False,"{'a': 0.005, 'e': 0.7117703227626097}",25,0,-35.299606746665205,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
70,False,"{'a': 0.005, 'e': 0.7082203534678}",20,2,-7.179762759963164,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
71,False,"{'a': 0.005, 'e': 0.7046880897187134}",25,9,-69.66233729727051,"{0: 9, 1: 3, 2: 3, 3: 0, 4: 1}",1
72,False,"{'a': 0.005, 'e': 0.7011734432085724}",25,0,-183.73764558092893,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 3}",0
73,False,"{'a': 0.005, 'e': 0.697676326071031}",25,0,-34.915832281096854,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
74,False,"{'a': 0.005, 'e': 0.6941966508779789}",25,3,-85.58836001481508,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 2}",1
75,False,"{'a': 0.005, 'e': 0.6907343306373547}",25,10,-29.02028670981614,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
76,False,"{'a': 0.005, 'e': 0.6872892787909722}",20,13,-10.096807229018443,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
77,False,"{'a': 0.005, 'e': 0.6838614092123558}",30,0,-116.05036953658018,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",1
78,False,"{'a': 0.005, 'e': 0.6804506362045877}",30,0,-103.3306060489985,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
79,False,"{'a': 0.005, 'e': 0.6770568744981647}",20,0,-49.443501448314464,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
80,False,"{'a': 0.005, 'e': 0.6736800392488677}",20,0,-105.83517330786596,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
81,False,"{'a': 0.005, 'e': 0.6703200460356393}",20,13,9.955197839214433,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.005, 'e': 0.6669768108584744}",25,0,-33.16582290257383,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
83,False,"{'a': 0.005, 'e': 0.6636502501363194}",30,5,-141.43003019843957,"{0: 14, 1: 6, 2: 2, 3: 0, 4: 3}",1
84,False,"{'a': 0.005, 'e': 0.6603402807049829}",25,10,-20.74032562233202,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
85,False,"{'a': 0.005, 'e': 0.6570468198150567}",20,3,-51.885744167343205,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
86,False,"{'a': 0.005, 'e': 0.6537697851298473}",25,13,-14.075150550186812,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
87,False,"{'a': 0.005, 'e': 0.6505090947233165}",25,0,-93.90418507892926,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
