trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.005, 'e': 1.0}",25,0,-65.19873991474104,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.005, 'e': 0.9950124791926823}",30,0,-205.5566910303073,"{0: 15, 1: 4, 2: 8, 3: 0, 4: 3}",0
3,False,"{'a': 0.005, 'e': 0.9900498337491681}",25,0,-33.088584392958715,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.005, 'e': 0.9851119396030626}",20,0,-63.66834001527697,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
5,False,"{'a': 0.005, 'e': 0.9801986733067553}",25,0,-157.27718515127304,"{0: 10, 1: 5, 2: 8, 3: 1, 4: 1}",0
6,False,"{'a': 0.005, 'e': 0.9753099120283326}",30,0,-70.12596738601287,"{0: 19, 1: 5, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.005, 'e': 0.9704455335485082}",25,0,-185.9637212770543,"{0: 11, 1: 6, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.005, 'e': 0.9656054162575665}",20,7,-65.010738128576,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 1}",1
9,False,"{'a': 0.005, 'e': 0.9607894391523232}",20,0,-56.61318870215981,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.005, 'e': 0.9559974818331}",25,14,-4.146963976567325,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.005, 'e': 0.951229424500714}",20,0,-46.398600966345406,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
12,False,"{'a': 0.005, 'e': 0.9464851479534838}",35,0,-201.53414764914282,"{0: 19, 1: 8, 2: 4, 3: 1, 4: 3}",0
13,False,"{'a': 0.005, 'e': 0.9417645335842487}",30,0,-118.93674137960605,"{0: 16, 1: 3, 2: 9, 3: 2, 4: 0}",0
14,False,"{'a': 0.005, 'e': 0.9370674633774034}",25,0,-81.2531239253883,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
15,False,"{'a': 0.005, 'e': 0.9323938199059483}",30,0,-131.33968312195594,"{0: 16, 1: 6, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.005, 'e': 0.9277434863285529}",30,0,-195.3813065709456,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
17,False,"{'a': 0.005, 'e': 0.9231163463866358}",20,0,-56.11597002448661,"{0: 15, 1: 0, 2: 2, 3: 3, 4: 0}",0
18,False,"{'a': 0.005, 'e': 0.9185122844014574}",30,0,-167.32674301473423,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 2}",0
19,False,"{'a': 0.005, 'e': 0.9139311852712282}",25,0,-136.97555584197286,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",1
20,False,"{'a': 0.005, 'e': 0.9093729344682314}",30,0,-248.3782017956734,"{0: 16, 1: 2, 2: 7, 3: 1, 4: 4}",0
21,False,"{'a': 0.005, 'e': 0.9048374180359595}",20,0,-159.69088243092568,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
22,False,"{'a': 0.005, 'e': 0.9003245225862656}",20,8,-16.684857042774016,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
23,False,"{'a': 0.005, 'e': 0.8958341352965282}",25,0,-71.88465301188714,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
24,False,"{'a': 0.005, 'e': 0.8913661439068313}",30,0,-100.80112912317011,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
25,False,"{'a': 0.005, 'e': 0.8869204367171575}",25,0,-115.60655226928236,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
26,False,"{'a': 0.005, 'e': 0.8824969025845955}",25,0,-127.12507912740364,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
27,False,"{'a': 0.005, 'e': 0.8780954309205613}",20,0,-192.2063739124299,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",0
28,False,"{'a': 0.005, 'e': 0.8737159116880344}",35,0,-294.65493851431927,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 6}",0
