trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.85519875825048,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.9997925217556,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-302.20762076048123,"{0: 11, 1: 0, 2: 7, 3: 2, 4: 5}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.8385060445196,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.94549338123136,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.25015884156383,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-157.40504003667735,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.59555047689518,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.29441866351792,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.58785487920616,"{0: 7, 1: 2, 2: 10, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-133.9832930987164,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-125.24715024978387,"{0: 14, 1: 6, 2: 9, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-201.88796532489778,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-234.0970633776467,"{0: 10, 1: 4, 2: 5, 3: 3, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.830803080790766,"{0: 10, 1: 7, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",35,0,-275.61585178713455,"{0: 19, 1: 4, 2: 6, 3: 1, 4: 5}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.79852145912878,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.53328646588827,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.30804971049264,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.45732606153263,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-94.14191328040836,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-154.70898167451645,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,16,5.529488332730099,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",35,5,-148.53241097060564,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-83.49544467594693,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,11,-44.78121924291014,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-77.50041968642032,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-124.15724808284511,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-103.97675883767151,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-187.7187246353099,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
